Mes,Unidad,Sucursal,Perspectiva,Indicador,Valor,Unidad de Medida
2024-06,Oficial 001,Sucursal 01,Eficiencia,Tiempo de procesamiento,87.27,Horas
2024-06,Oficial 001,Sucursal 01,Eficiencia,Clientes atendidos por hora,96.05,Horas
2024-06,Oficial 001,Sucursal 01,Eficiencia,Tasa de errores,88.25,%
2024-06,Oficial 001,Sucursal 01,Calidad,Revisión manual necesaria,83.32,Horas
2024-06,Oficial 001,Sucursal 01,Calidad,Tasa de rechazo,85.57,%
2024-06,Oficial 001,Sucursal 01,Calidad,Cumplimiento de normativa,89.47,Horas
2024-06,Oficial 001,Sucursal 01,Experiencia,Satisfacción del cliente,92.78,Puntos
2024-06,Oficial 001,Sucursal 01,Experiencia,Tasa de reclamos,95.54,%
2024-06,Oficial 001,Sucursal 01,Experiencia,Tiempo de espera,94.58,Horas
2024-06,Oficial 002,Sucursal 01,Eficiencia,Tiempo de procesamiento,75.54,Horas
2024-06,Oficial 002,Sucursal 01,Eficiencia,Clientes atendidos por hora,70.52,Horas
2024-06,Oficial 002,Sucursal 01,Eficiencia,Tasa de errores,81.1,%
2024-06,Oficial 002,Sucursal 01,Calidad,Revisión manual necesaria,78.25,Horas
2024-06,Oficial 002,Sucursal 01,Calidad,Tasa de rechazo,76.68,%
2024-06,Oficial 002,Sucursal 01,Calidad,Cumplimiento de normativa,60.69,Horas
2024-06,Oficial 002,Sucursal 01,Experiencia,Satisfacción del cliente,67.79,Puntos
2024-06,Oficial 002,Sucursal 01,Experiencia,Tasa de reclamos,97.56,%
2024-06,Oficial 002,Sucursal 01,Experiencia,Tiempo de espera,83.78,Horas
2024-06,Oficial 003,Sucursal 01,Eficiencia,Tiempo de procesamiento,68.1,Horas
2024-06,Oficial 003,Sucursal 01,Eficiencia,Clientes atendidos por hora,73.81,Horas
2024-06,Oficial 003,Sucursal 01,Eficiencia,Tasa de errores,97.54,%
2024-06,Oficial 003,Sucursal 01,Calidad,Revisión manual necesaria,63.66,Horas
2024-06,Oficial 003,Sucursal 01,Calidad,Tasa de rechazo,76.53,%
2024-06,Oficial 003,Sucursal 01,Calidad,Cumplimiento de normativa,61.88,Horas
2024-06,Oficial 003,Sucursal 01,Experiencia,Satisfacción del cliente,64.08,Puntos
2024-06,Oficial 003,Sucursal 01,Experiencia,Tasa de reclamos,76.54,%
2024-06,Oficial 003,Sucursal 01,Experiencia,Tiempo de espera,96.27,Horas
2024-06,Oficial 004,Sucursal 02,Eficiencia,Tiempo de procesamiento,92.72,Horas
2024-06,Oficial 004,Sucursal 02,Eficiencia,Clientes atendidos por hora,75.04,Horas
2024-06,Oficial 004,Sucursal 02,Eficiencia,Tasa de errores,60.85,%
2024-06,Oficial 004,Sucursal 02,Calidad,Revisión manual necesaria,99.56,Horas
2024-06,Oficial 004,Sucursal 02,Calidad,Tasa de rechazo,81.89,%
2024-06,Oficial 004,Sucursal 02,Calidad,Cumplimiento de normativa,90.31,Horas
2024-06,Oficial 004,Sucursal 02,Experiencia,Satisfacción del cliente,82.48,Puntos
2024-06,Oficial 004,Sucursal 02,Experiencia,Tasa de reclamos,72.78,%
2024-06,Oficial 004,Sucursal 02,Experiencia,Tiempo de espera,78.2,Horas
2024-06,Oficial 005,Sucursal 02,Eficiencia,Tiempo de procesamiento,79.67,Horas
2024-06,Oficial 005,Sucursal 02,Eficiencia,Clientes atendidos por hora,61.57,Horas
2024-06,Oficial 005,Sucursal 02,Eficiencia,Tasa de errores,92.59,%
2024-06,Oficial 005,Sucursal 02,Calidad,Revisión manual necesaria,87.98,Horas
2024-06,Oficial 005,Sucursal 02,Calidad,Tasa de rechazo,71.18,%
2024-06,Oficial 005,Sucursal 02,Calidad,Cumplimiento de normativa,88.5,Horas
2024-06,Oficial 005,Sucursal 02,Experiencia,Satisfacción del cliente,75.24,Puntos
2024-06,Oficial 005,Sucursal 02,Experiencia,Tasa de reclamos,75.96,%
2024-06,Oficial 005,Sucursal 02,Experiencia,Tiempo de espera,75.24,Horas
2024-06,Oficial 006,Sucursal 02,Eficiencia,Tiempo de procesamiento,63.36,Horas
2024-06,Oficial 006,Sucursal 02,Eficiencia,Clientes atendidos por hora,89.07,Horas
2024-06,Oficial 006,Sucursal 02,Eficiencia,Tasa de errores,70.74,%
2024-06,Oficial 006,Sucursal 02,Calidad,Revisión manual necesaria,60.93,Horas
2024-06,Oficial 006,Sucursal 02,Calidad,Tasa de rechazo,61.16,%
2024-06,Oficial 006,Sucursal 02,Calidad,Cumplimiento de normativa,96.63,Horas
2024-06,Oficial 006,Sucursal 02,Experiencia,Satisfacción del cliente,92.87,Puntos
2024-06,Oficial 006,Sucursal 02,Experiencia,Tasa de reclamos,75.22,%
2024-06,Oficial 006,Sucursal 02,Experiencia,Tiempo de espera,62.15,Horas
2024-06,Oficial 007,Sucursal 03,Eficiencia,Tiempo de procesamiento,62.02,Horas
2024-06,Oficial 007,Sucursal 03,Eficiencia,Clientes atendidos por hora,82.71,Horas
2024-06,Oficial 007,Sucursal 03,Eficiencia,Tasa de errores,93.48,%
2024-06,Oficial 007,Sucursal 03,Calidad,Revisión manual necesaria,76.15,Horas
2024-06,Oficial 007,Sucursal 03,Calidad,Tasa de rechazo,63.72,%
2024-06,Oficial 007,Sucursal 03,Calidad,Cumplimiento de normativa,60.14,Horas
2024-06,Oficial 007,Sucursal 03,Experiencia,Satisfacción del cliente,70.03,Puntos
2024-06,Oficial 007,Sucursal 03,Experiencia,Tasa de reclamos,75.06,%
2024-06,Oficial 007,Sucursal 03,Experiencia,Tiempo de espera,93.68,Horas
2024-06,Oficial 008,Sucursal 03,Eficiencia,Tiempo de procesamiento,92.24,Horas
2024-06,Oficial 008,Sucursal 03,Eficiencia,Clientes atendidos por hora,89.99,Horas
2024-06,Oficial 008,Sucursal 03,Eficiencia,Tasa de errores,88.59,%
2024-06,Oficial 008,Sucursal 03,Calidad,Revisión manual necesaria,80.66,Horas
2024-06,Oficial 008,Sucursal 03,Calidad,Tasa de rechazo,86.94,%
2024-06,Oficial 008,Sucursal 03,Calidad,Cumplimiento de normativa,72.95,Horas
2024-06,Oficial 008,Sucursal 03,Experiencia,Satisfacción del cliente,77.24,Puntos
2024-06,Oficial 008,Sucursal 03,Experiencia,Tasa de reclamos,72.16,%
2024-06,Oficial 008,Sucursal 03,Experiencia,Tiempo de espera,67.01,Horas
2024-06,Oficial 009,Sucursal 03,Eficiencia,Tiempo de procesamiento,90.59,Horas
2024-06,Oficial 009,Sucursal 03,Eficiencia,Clientes atendidos por hora,70.54,Horas
2024-06,Oficial 009,Sucursal 03,Eficiencia,Tasa de errores,62.39,%
2024-06,Oficial 009,Sucursal 03,Calidad,Revisión manual necesaria,61.74,Horas
2024-06,Oficial 009,Sucursal 03,Calidad,Tasa de rechazo,99.64,%
2024-06,Oficial 009,Sucursal 03,Calidad,Cumplimiento de normativa,96.45,Horas
2024-06,Oficial 009,Sucursal 03,Experiencia,Satisfacción del cliente,71.01,Puntos
